Produit,Utilisateur,Date,Fiabilité,score,content
Samsung,mory raymond,Commenté en France le 20 octobre 2020,Achat vérifié,3.0,acheter un samsung J 4 et reçu un samsung A 10 S et avec un mode d'emploi en russene pourrait on pas avoir des mode d'emploi en français ????????????
Samsung,Braz,Commenté en France le 19 octobre 2020,Achat vérifié,5.0,Super produit !!!
Samsung,Rihal S.,Commenté en France le 15 octobre 2020,Achat vérifié,5.0,"Très bon rapport qualité prix c'est un téléphone portable multifonction, rapide et précis. L'écran est super et la batterie a l'air durable"
Samsung,Delph ,Commenté en France le 14 octobre 2020,Achat vérifié,5.0,Très bien
Samsung,B.P.,Commenté en France le 10 octobre 2020,Achat vérifié,5.0,"Excellent rapport qualité prix pour ce smartphone. Fonctionne très bien, facile d'utilisation, fait de jolies photos, très réactif, bref parfait pour un smartphone dit de moyenne gamme."
Samsung,Toutain,Commenté en France le 7 octobre 2020,Achat vérifié,5.0,Bien
Samsung,Couderc Florence,Commenté en France le 6 octobre 2020,Achat vérifié,5.0,Marche impeccable depuis quelque mois
Samsung,Client d'Amazon,Commenté en France le 30 septembre 2020,Achat vérifié,1.0,J'ai acheté ce téléphone il y'a moins de 6 mois et il a deja des problèmes. L'écran bouge tout seul pendant 30 secondes. Impossible de l’arrêter. puis il s’arrête seul. Ensuite la sonnerie fait un drôle de bruit idem 30 secondes puis s’arrête. Cela depuis environ 10 jours. Avant ca tout allait bien. J'ai peur d'avoir acheté un téléphone d'occasion qui ne fonctionne pas. Je vais contacter AMAZON. Je n'ai pas de téléphone de rechange je ne vois pas comment je vais faire. Je déconseille. Il faut mieux acheter en magasin en france pour une bonne garantie et pour pouvoir ramener le téléphone. Quel embêtement pour un téléphone soit disant neuf
Samsung,sampieri,Commenté en France le 24 septembre 2020,Achat vérifié,1.0,Vitre déjà cassee
Samsung,maniez,Commenté en France le 19 septembre 2020,Achat vérifié,5.0,"Article acheté pour offrir à mon papa. Très satisfait, grand écran, rapidité d'exécution et facilité d'utilisation. Il en est très content. Le seul petit bémol c'est qu'il est en 4G et non en 5G."
Samsung,GLYL33,Commenté en France le 16 septembre 2020,Achat vérifié,4.0,"C'est le deuxième appareil que je commande et je n'ai pas eu ce genre de problème lors de ma première commande.Donc dans ma deuxième commande, j'ai eu droit au chargeur USB version UK.J'ai l'impression que c'est comme à la loterie ... UK ou EU ?"
Samsung,Patoun6,Commenté en France le 16 septembre 2020,Achat vérifié,4.0,envoyé dans le même paquet nous n'avions pas vu le 2e mais réussi a faire un cadeau mais déçu d'avoir payé en une seule fois pour une erreur
Samsung,Zay,Commenté en France le 14 septembre 2020,Achat vérifié,5.0,Bon rapport qualité-prix et qui fait l'affaire.L'option double carte Sim est plus qu'appréciable.Aucun souci quant au chargeur : bien conforme aux normes européennes.
Samsung,Margaux,Commenté en France le 6 septembre 2020,Achat vérifié,5.0,Parfait :) et simple d'utilisation !
Samsung,Arnaud,Commenté en France le 5 septembre 2020,Achat vérifié,5.0,"Très satisfait de cet achat, je le recommande."
Samsung,Client d'Amazon,Commenté en France le 5 septembre 2020,Achat vérifié,5.0,Excellent téléphone pour le prix
Samsung,Client d'Amazon,Commenté en France le 5 septembre 2020,Achat vérifié,4.0,LE SON UN PEU FAIBLE EN COMMUNICATION TELEPHONIQUE
Samsung,FERREIRA,Commenté en France le 4 septembre 2020,Achat vérifié,1.0,Ecran cassé des la 1ère chute. Trop fragile
Samsung,dominique claeyman doré,Commenté en France le 30 août 2020,Achat vérifié,5.0,toujours aussi agréablement satisfaite des produits ainsi que de la livraison vous recommanderez à des proches volontiers
Samsung,Choupette,Commenté en France le 29 août 2020,Achat vérifié,5.0,IL ES TRES BIEN FIN ECTT
Samsung,Hervé L1958,Commenté en France le 28 août 2020,Achat vérifié,2.0,"Pour le prix, c'est lamentable de ne pas fournir l'adaptateur secteur pour le pays concerné. C'est la première fois que je reçois un téléphone sans un adaptateur secteur utilisable en France. A part cela, il fonctionne correctement pour le moment."
Samsung,Florian Moigner,Commenté en France le 24 août 2020,Achat vérifié,1.0,Produit sensé être neuf puisqu'on nous laisse le choix a l'achat. J'ai reçu un produit reconditionne seulement valable pour les cartes SIM du moyen Orient et Afrique. Perte de temps à éviter.
Samsung,Vsbs,Commenté en France le 23 août 2020,Achat vérifié,5.0,Tres bon
Samsung,Fatima FERRAH,Commenté en France le 20 août 2020,Achat vérifié,1.0,Raison personnelleLa batterie s'épuise beaucoup trop vite deux jours grand maximum. Du coup je ne peux pas m'en servir beaucoup.
Samsung,Client d'Amazon,Commenté en France le 19 août 2020,Achat vérifié,5.0,"Portable nickel  , dommage  la vitre et rayée  ."
Samsung,BOUDJENA menahem,Commenté en France le 18 août 2020,Achat vérifié,5.0,Pour ma fille de 11 ans très beau cadeau
Samsung,Lokombo,Commenté en France le 17 août 2020,Achat vérifié,5.0,Le téléphone sympa
Samsung,Client d'Amazon,Commenté en France le 17 août 2020,Achat vérifié,5.0,Bien mais un peu compliqué pour les personnes agés
Samsung,Vaccaro,Commenté en France le 16 août 2020,Achat vérifié,5.0,Excellent téléphone
Samsung,KerneL,Commenté en France le 14 août 2020,Achat vérifié,3.0,"Bon rapporte qualité prix, boite ouvert."
Samsung,klv,Commenté en France le 14 août 2020,Achat vérifié,5.0,Je le recommande
Samsung,Titi,Commenté en France le 13 août 2020,Achat vérifié,4.0,Telephone conforme a samsung.pas tres pratique pour allumage de l ecran car petit bouton sur la tranche pas tres ergonomique.De plus l ecran s eteint lors de la mise a l oreille a cause du capteur de proximite .et il est impossible de desactiver cette fonction.Dans l ensemble bon telephone mais il faut que samsung apporte quelques modif.tres bon rapport qualite prix.
Samsung,bellier laura,Commenté en France le 11 août 2020,Achat vérifié,1.0,Le paquet Amazon était bien fermé. Par contre la boîte du téléphone était ouverte ( voir photos) et de plus il manque le transformateur du coup je n'ai que le câble pour charger le téléphone. Je cache pas que je suis très déçu.
Samsung,valerie,Commenté en France le 11 août 2020,Achat vérifié,4.0,Très bon téléphone je recommande
Samsung,RCLJL,Commenté en France le 11 août 2020,Achat vérifié,4.0,mémoire interne 32 gb
Samsung,nanou,Commenté en France le 11 août 2020,Achat vérifié,5.0,Tres bon rapport qualité prix. Téléphone très bien pour son prix
Samsung,EtoileNJ,Commenté en France le 8 août 2020,Achat vérifié,4.0,"Complètement satisfaite, très bon rapport qualité prix. Facile d d'utilisation"
Samsung,Dodo,Commenté en France le 7 août 2020,Achat vérifié,5.0,bon produit
Samsung,maman,Commenté en France le 4 août 2020,Achat vérifié,1.0,5 d'utilisation et batterie en panne il ne se charge plus . Ça fait au moins 3 fois que j'achète un téléphone reconditionné qui ne fonctionne plus en très peu de temps je suis dépité et c'est donc la dernière fois que je fais un achat en reconditionné
Samsung,Deschamps ,Commenté en France le 3 août 2020,Achat vérifié,1.0,Il a rendu l'âme après quelques mois d'utilisation j'attends de savoir ce que Amazon me proposeCar le délai de retour est dépassé..
Samsung,phenix,Commenté en France le 2 août 2020,Achat vérifié,1.0,"Le smartphone n'a pas le langage français , il est en anglais et arabe , l'écran tactile ne suis pas et reste bloquer , il est impossible de le régler !"
Samsung,Adnen ben Hmad,Commenté en France le 31 juillet 2020,Achat vérifié,1.0,pas trop content.  j'avais acheté ce téléphone et je l'ai donne comme cadeau a quelqu'un. il s'avère que c'est pas un produit authentique. je déconseille
Samsung,Client d'Amazon,Commenté en France le 26 juillet 2020,Achat vérifié,4.0,"Le téléphone est très bien,  il était dans une langue inconnu mais j'ai réussi à le mettre en  français.Par contre , livraison très longue par rapport à ce qui était annoncé."
Samsung,cocu jean,Commenté en France le 22 juillet 2020,Achat vérifié,5.0,Bon produit Samsung
Samsung,F,Commenté en France le 20 juillet 2020,Achat vérifié,4.0,Top
Samsung,PILMES PRISCILLIA,Commenté en France le 20 juillet 2020,Achat vérifié,1.0,"Produit défectueux, très déçue de cet achat."
Samsung,icare,Commenté en France le 19 juillet 2020,Achat vérifié,5.0,plus que correct pour le prix et surtout simple d utilisation
Samsung,PAT,Commenté en France le 19 juillet 2020,Achat vérifié,4.0,prenant toujours des portables de marque SAMSUMG je savais que j aurais de la qualté facile d utilisation fait de jolie photos je recommande l achat
Samsung,titaha,Commenté en France le 18 juillet 2020,Achat vérifié,4.0,Plutôt satisfaite de mon achat
Samsung,Mida,Commenté en France le 17 juillet 2020,Achat vérifié,3.0,Cet appareil est paramétré en langue Ouzbek que je ne connais pas.J'ai eu les pires difficultés pour le paramétrer en français.De plus le colis n'était pas fermé.Cordialement.Michel DATHEE
Samsung,BEVIS-ANTONIO Jeremy,Commenté en France le 16 juillet 2020,Achat vérifié,5.0,Produit neuf bien emballé fonctionne très bien
Samsung,B.G.,Commenté en France le 10 juillet 2020,Achat vérifié,1.0,"Attention prise anglaise et ce n'est pas précisé,  pas super..."
Samsung,Mitsuya,Commenté en France le 10 juillet 2020,Achat vérifié,2.0,"J'ai acheté ce telephone il y a quelques semaines. Au début nickel, fonctionne bien et est très esthétique. Après seulement 3 semaines d'utilisations les beug s'enchaine, par moment que je peux même pas décrocher car le portable vibre mais n'affiche rien. Le téléphone fonctionne au ralenti.Je ne recommande pas ce produit."
Samsung,juan pascal,Commenté en France le 9 juillet 2020,Achat vérifié,5.0,MERCI RAPIDE
Samsung,camille louni,Commenté en France le 8 juillet 2020,Achat vérifié,4.0,Bon rapport qualité prix.  Le seul bémol est le son
Samsung,Lauzier M.,Commenté en France le 5 juillet 2020,Achat vérifié,4.0,Facile à poser bonne protection
Samsung,Kerloch,Commenté en France le 4 juillet 2020,Achat vérifié,5.0,Tout se que je recherchait c'est parfait
Samsung,Ollié,Commenté en France le 30 juin 2020,Achat vérifié,1.0,Au bout de 5 mois le téléphone a surchauffé et maintenant il ne s'allume plus.J'ai essayé de contacter le service technique sans réponse de leur part.
Samsung,Tidian,Commenté en France le 30 juin 2020,Achat vérifié,5.0,Très rapide excellent rapport qualité prixJe recommande fortement
Samsung,Client Amazon,Commenté en France le 29 juin 2020,Achat vérifié,5.0,C'est un cadeau qui a fait grand plaisir
Samsung,Muntu,Commenté en France le 28 juin 2020,Achat vérifié,5.0,J'aimais la livraison rapide arrivée plutôt que la date prévue je produit est pour ma fille elle est très contente
Samsung, Sébastien R,Commenté en France le 28 juin 2020,Achat vérifié,4.0,"Ce téléphone a remplacé un Samsung J4+ cassé. Ecran de taille très correct et très réactif. Une prise en main facile. L'appli Smart Switch permet de faire passer les données de mon ancien Samsung vers le nouveau. J'ai récupéré toutes les données comme mes images, mes vidéos, mes applis et tous mes contacts."
Samsung,Séverine,Commenté en France le 28 juin 2020,Achat vérifié,4.0,"Cadeau fait à mon fils de 15 ans, il en est ravi.Écran agréable par sa taille, bon maintien de la batterie."
Samsung,Client d'Amazon,Commenté en France le 24 juin 2020,Achat vérifié,5.0,Je n ai pas de commentaires négatifs concernant l achat de ce téléphone.
Samsung,delatorre,Commenté en France le 24 juin 2020,Achat vérifié,1.0,BONJOUR J' AI ACHETÉ UN SAMSUNG GALAXI 10 ET LE SON EST VRAIMENT FAIBLE C'EAST PAS NORMAL
Samsung,Ariful,Commenté en France le 23 juin 2020,Achat vérifié,5.0,"J’ai bien aimé cet produit chez AMAZON,j’ai confiance sur AMAZON"
Samsung,Client d'Amazon,Commenté en France le 23 juin 2020,Achat vérifié,5.0,Super portable pour le prix
Samsung,huyonggan,Commenté en France le 22 juin 2020,Achat vérifié,3.0,il marche normalement
Samsung,Ludo,Commenté en France le 21 juin 2020,Achat vérifié,4.0,"Telephone d'entrée de gamme quoiqu'il en soit efficace, j'en suis satisfait. Pourquoi mettre plus cher il fait tout ce qu'on demande à un smartphone."
Samsung,Client d'Amazon,Commenté en France le 21 juin 2020,Achat vérifié,1.0,"ATTENTION, GROS PIÈGE.Appareil reçu, mais à ma surprise,  le boîtier porte l'étiquette ""EUROPEAN SIM CARD ONLY"". C'est-à-dire que ce téléphone ne peut-être utilisé qu'en Europe.Cette informatio n'est pas présente sur la description du téléphone sur le site Amazon. Moi je l'ai acheté surtout pour l'utiliser hors Europe et du fait qu'il est DOUBLE SIM. Je suis obligé de le renvoyer sans même l'ouvrir, car inutile pour mon cas.Je demande à Amazon  et au vendeur de bien préciser l'information ""EUROPEAN SIM CARD ONLY""  dans la description de l'appareil."
Samsung,rigaud herve,Commenté en France le 20 juin 2020,Achat vérifié,1.0,Écran noir batterie qui chauffe impossible de rouvrir le telephone
Samsung,Nono,Commenté en France le 20 juin 2020,Achat vérifié,5.0,Très bien facile à utiliser
Samsung,boshart,Commenté en France le 19 juin 2020,Achat vérifié,5.0,Très colorée et assez marrant
Samsung,Gaia,Commenté en France le 19 juin 2020,Achat vérifié,5.0,Très bien
Samsung,Maman ,Commenté en France le 18 juin 2020,Achat vérifié,3.0,Très bon produit seul bémol il supporte mal les téléchargements ils beug très souvent.
Samsung,Guillaume M.,Commenté en France le 17 juin 2020,Achat vérifié,3.0,Ce téléphone pourrait être vraiment bon en termes de rapport qualité/prix sauf qu'il manque le lecteur d'empreinte digitale.De plus le déplacement des icônes est lente (il faut reste trop longtemps appuyé).
Samsung,dormegnie rachel,Commenté en France le 14 juin 2020,Achat vérifié,5.0,Facile d utilisation.Bonne qualité des.photos.Très solide !!!!Super pixels...Très bon achat.
Samsung,Olivya strip,Commenté en France le 14 juin 2020,Achat vérifié,3.0,"Super content de ce téléphone , reçu en langue roumaine et impossible de lire les MMS . A part ça tout est parfait."
Samsung,Client d'Amazon,Commenté en France le 13 juin 2020,Achat vérifié,5.0,Ma fille est ravie
Samsung,Client d'Amazon,Commenté en France le 13 juin 2020,Achat vérifié,3.0,Pas de notice en français et pas de la bonne couleur on se moque du client
Samsung,CHEYENNE,Commenté en France le 13 juin 2020,Achat vérifié,1.0,Il ne fonctionnait pas.  Bravo pour Amazon retour et remboursement très simple et rapide.
Samsung,girard rene,Commenté en France le 12 juin 2020,Achat vérifié,4.0,"Après un Iphone vieillissant, ce Samsung est nettement plus moderne et capable de recevoir des applications actuelles. Bien pour le prix."
Samsung,Belkhir Rachid,Commenté en France le 12 juin 2020,Achat vérifié,5.0,Rapport qualité prix. Arrivé avant le délai.
Samsung,Client d'AmazonBERKES,Commenté en France le 12 juin 2020,Achat vérifié,5.0,BIEN REÇUS  TRÈS BIEN EMBALLE MERCI
Samsung,stephanie petit,Commenté en France le 11 juin 2020,Achat vérifié,1.0,Très déçu car le téléphone est déjà prêt a rendre l'âme.A peine quelques moi et déjà prêt à rendre l'âme
Samsung,Guy Louvrier,Commenté en France le 11 juin 2020,Achat vérifié,4.0,"il y a un problème avec la housse, elle est trop grande pour le téléphone."
Samsung,Jakir,Commenté en France le 10 juin 2020,Achat vérifié,4.0,Satisfait
Samsung,Traore mody,Commenté en France le 9 juin 2020, ? ,4.0,Le produit est  Bonne c’était génial e livre avant le jour prévu je vous remercie toute l’équipe de Amazon
Samsung,Client d'Amazon,Commenté en France le 9 juin 2020, ? ,4.0,Dommage qu il n'y ait pas de kit pietons
Samsung,christian MONDESIR,Commenté en France le 8 juin 2020,Achat vérifié,5.0,superbravo Amazon
Samsung,colaianni,Commenté en France le 7 juin 2020,Achat vérifié,4.0,"Téléphone  facile a utilisé  si on aime les Samsung  on estvpas dépaysé.  Léger,  le design  au top ."
Samsung,Nolle,Commenté en France le 7 juin 2020,Achat vérifié,5.0,Très bon produit! Livraison rapide
Samsung,MOUKALISSE,Commenté en France le 7 juin 2020,Achat vérifié,5.0,"Je l'ai acheté pour ma fille, elle l'utilise pour l'école à distance et qlq jeux."
Samsung,Michel ,Commenté en France le 7 juin 2020,Achat vérifié,3.0,"J'avoue un  Galaxy j5 qui finalement faisait bien son job j'ai pris le Galaxy a10  il arrête pas de sonner cherche on ne sais pas ancien prof de maths et physique  je ne suis pas encore débile en bref il n""est pas immédiat"
Samsung,jean-claude LE BERRIGAUD,Commenté en France le 7 juin 2020,Achat vérifié,4.0,VUE LE SERVICE DE L'ASSISTANCE TECHNIQUE AMAZON ET SAM SUNG  SUPER JE GARDE L'APPAREIL .PUISQUE QU'IL FONCTIONNEMERCI
Samsung,Maë,Commenté en France le 6 juin 2020,Achat vérifié,4.0,"Au top du top, merci !"
Samsung,Gater mounia,Commenté en France le 4 juin 2020,Achat vérifié,5.0,J'ai aimé
Samsung,Erme ,Commenté en France le 2 juin 2020,Achat vérifié,4.0,C’est très bien 😊 depuis 4 mois j’utilise aucune problème
Samsung,ane 46,Commenté en France le 1 juin 2020,Achat vérifié,1.0,Notice en polonais
Samsung,bertrand verger,Commenté en France le 31 mai 2020,Achat vérifié,4.0,"Entrée de la gamme A 10 satisfaisant.  Mais un peu grand à mon goût,  pas de charge rapide ni de reconnaissance par empreinte digitale, et chargeur ancienne génération.  Vaut mieux choisir le A 20 pour quelques euros de plus"
Samsung,Fuapau,Commenté en France le 29 mai 2020, ? ,5.0,Super facile à utilis
Samsung,lavergne,Commenté en France le 29 mai 2020,Achat vérifié,5.0,Très bien
Samsung,Vicky,Commenté en France le 27 mai 2020,Achat vérifié,5.0,Excellent rapport qualité prix.
Samsung,KHEMIRI NABILA,Commenté en France le 27 mai 2020,Achat vérifié,4.0,"J'ai acheté ce téléphone comme cadeau pour ma belle-sœur, c'est le deuxième que j'achète comme cadeau, ils sont satisfaits en général, le seul inconvénient c'est que le téléphone est bloqué à l’étranger, il y a une procédure pour le débloquer en passant une communication de 5 mn avec la puce française avant de mettre la puce locale."
Samsung,marta parosu,Commenté en France le 27 mai 2020,Achat vérifié,5.0,Facile à utiliser. Livraison en avance. T
Samsung,Client d'Amazon,Commenté en France le 27 mai 2020,Achat vérifié,5.0,Très bon article excellent rapport qualité prix
Samsung,gabteni,Commenté en France le 27 mai 2020, ? ,5.0,Jai acheter CE tel ya 3 mois et je suis ravie il est bient facile  bon raport  merci amazone
Samsung,jerome,Commenté en France le 26 mai 2020,Achat vérifié,5.0,J'ai bien fait de le prendre facile d'utilisation nickel bon rapport qualité prix. Il est a la base en italien et n'a pas de mode d'emploi francais mais on arrive a se debrouuller pour le mettre en francais
Samsung,topal,Commenté en France le 24 mai 2020,Achat vérifié,4.0,Tres Bon produi.
Samsung,benabidi,Commenté en France le 22 mai 2020,Achat vérifié,5.0,Pour le remplacement de mon ancien téléphone.
Samsung,Client d'Amazon,Commenté en France le 21 mai 2020,Achat vérifié,1.0,Téléphone endommagé en en surchauffe tout le temps impossible de l'utilise
Samsung,Client d'Amazon,Commenté en France le 19 mai 2020,Achat vérifié,4.0,"J’ai pris ce téléphone pour ma mère, elle est très contente de son achat. Seul petit problème il bug de temps en temps, après le rapport qualité prix et quand même très intéressant"
Samsung,LFI,Commenté en France le 18 mai 2020,Achat vérifié,5.0,"Utilisation pour le travail, facile à magner, très simple, tout ce qu'il faut en la matière."
Samsung,Deel,Commenté en France le 17 mai 2020,Achat vérifié,5.0,Bonne téléphone pour offrire un cadeau
Samsung,warin laure,Commenté en France le 17 mai 2020, ? ,1.0,Livre avec chargeur incompatible avec prises francaises
Samsung,Ninelle N.,Commenté en France le 16 mai 2020,Achat vérifié,4.0,"Ce téléphone fonctionne très très bien.Il est arrivé assez rapidement et je l'ai depuis une semaine et rien à dire, il est top."
Samsung,Bruckner Régis,Commenté en France le 15 mai 2020,Achat vérifié,5.0,Très  bon achat  qualité  prix
Samsung,tvor955a,Commenté en France le 14 mai 2020,Achat vérifié,5.0,"Le téléphone SAMSUNG Galaxy A10 est un téléphone d'entrée de gamme qui convient bien aux personnes âgées, pour un usage professionnel simple ou comme premier téléphone d'un adolescent. Pas de chichis, du simple et du classique !!"
Samsung,gallois,Commenté en France le 14 mai 2020,Achat vérifié,4.0,il répond au souhait
Samsung,Client d'Amazon,Commenté en France le 14 mai 2020,Achat vérifié,4.0,"Bon smartphone, je recommande"
Samsung,Mahdy,Commenté en France le 12 mai 2020,Achat vérifié,4.0,Produit correcte mais l image et le son ne sont pas en qualité
Samsung,sc,Commenté en France le 12 mai 2020,Achat vérifié,5.0,"Reçu reconditionné : parfait.Les +un format d'écran très confortable.un écran de qualité.un OS completun prix très doux.la batterie est vraiment géniale, une super autonomie, qui fait que l'on ne se prend plus la tête avec ça.Les petits moins :un peu lourd (en poids), mais ses qualités le font oublier.une sensibilité réseau pas au top, mais suffisante.Au final :Appareil visiblement fiable, que je recommande pour qui veut un matériel polyvalent, pas cher et de très bonne qualité. Du bon Samsung tandis que j'ai plusieurs fois été déçu par cette marque, sur des modèles précédents, plus vieux. La non, nickel, on voit qu'il y a du progrès de fait sur ce segment de produit, les petits budgets ne sont pas laissés sur la route, ils ont aussi le droit à qqch de bien. BRAVO Samsung sur ce coup là."
Samsung,Gantar Rachid,Commenté en France le 12 mai 2020,Achat vérifié,5.0,Top merci🤗
Samsung,WERTH,Commenté en France le 12 mai 2020,Achat vérifié,5.0,Sans doc...pas tres facile...pour cex qui ne sont pas la nouvelle génération..sourire..mais on s en sort
Samsung,Samira,Commenté en France le 11 mai 2020,Achat vérifié,5.0,"Surpris de la qualité, j'avais pas prévu. L'image très nette et la taille parfaite pour voir des films,vidéos..."
Samsung,Attoumane M'hadji,Commenté en France le 10 mai 2020,Achat vérifié,5.0,Chuis très satisfait le téléphone est  neuf avec un carte mémoire 32go  je recommande sans hésitation
Samsung,kotecki,Commenté en France le 9 mai 2020,Achat vérifié,4.0,Mon fils est content de son téléphone il est de bonne taille et a beaucoup de stockage
Samsung,Bchibchi,Commenté en France le 8 mai 2020,Achat vérifié,5.0,Au top
