content,score,thumbsUpCount,reviewCreatedVersion,at,app
"J aime regarder quand je veux un film. Quand je rate un épisode de ma série, c est facile de le regarder en replay sur 6play. De plus c est tres facile de choisir avec les selections des thèmes.",5,0,4.16.38,2021-02-04 18:59:39,6play
"Abonnés aux chaînes de M6 via la Freebox, Impossible d'accéder aux chaînes TV et Paris Première. Pas de synchronisation avec la TV. Je précise d'ailleurs que tout les replays ne sont pas disponibles sur l'application.",2,6,4.16.43,2021-02-11 17:39:20,6play
Très déçu. J'aime regarder les Replay sur ma télé et maintenant c'est impossible de chromecaster. Aucun intérêt pour moi de regarder le Replay sur un écran 6 pouces de téléphone alors que j'ai un 65 pouces dans le salon. Je dėsinstalle. Je rappelle au gens qui ont pris cette décision que le Replay n'est pas destiné qu'aux nomades mais également à ceux qui ont raté une émission pour diverse raison.,1,40,4.16.38,2021-01-12 06:54:30,6play
J'habite en Belgique et je n'ai pas souvent le temps de regarder mes émissions de télé réalité sur W9 alors je les regardé sur 6play sans aucun problème. Une nouvelle émission avait commencer le 22/2/21 je n'ai pas pu la regarder parce que je n'était pas chez moi alors j'ai voulus là regarder sur l'application mais je sais pas pourquoi ce jour là on me dit qu'elle n'est pas accessible à ma zone géographique alors que ça fait deux ans que cela fonctionnait cela me déçoit fortement réglé ceci svp,2,10,4.16.43,2021-02-23 22:37:35,6play
Trop de pub. Encore plus que YouTube. Pas de possibilité de cast via un Chrome cast. Propose des programme que l'on n'a pas envie. Déçu. Les prochains replay se feront sur pc ou on ira ailleur.,2,4,4.16.43,2021-02-11 01:12:10,6play
"Evitez absolument d'installer cette bouse ! Pour voir un replay il faut se taper 20 mn de pub au minimum pour une émission de 50 mn... En prime ils vous pourrissent votre boîte mail, même si vous cliquez sur ""se désabonner"" ce que j'ai fait au moins 10 fois. Je vais être obligé de signaler à la CNIL . À fuir....",1,37,4.16.38,2021-01-11 10:12:48,6play
"Appli sympa, dommage qu'il soit impossible de caster sur la tv, d'ailleurs on ne retrouve pas cette appli sur des box Android à brancher sur la tv, scandaleux surtout quand on se tape 4 ou 5 pubs avant de voir son programme sur son tel.. M6 il serait tant de passer au 21eme siècle et d'autoriser vos clients à pouvoir regarder leurs replay sur la tv en leurs permettant de caster leurs programmes",2,20,4.16.38,2021-01-24 18:51:42,6play
2 étoiles pour le plaisir de ne pouvoir regarder Paris première à moins de payer alors que dans listing des chaînes celle ci se trouve à la suite des ..5.. chaines gratuites. De plus l'appli crash toute seule et rame (la 'croix' pour fermer une page vous regarde 10min avant de comprendre que vous l'avez sollicitée).,2,0,4.16.38,2021-01-22 21:33:57,6play
Une application pas accessible pour les personnes non-voyantes. Le Smart Vision 2 premium de chez Capsis n'est pas du tout compatible avec l'application M6 web je demande au groupe M6 de revoir leur application car elle est beaucoup trop longue à charger et les pub bloque l'accès à l'application. Je vous rappelle que la loi de 2005 vous impose une accessibilité totale et parfaite merci à vous.,5,23,4.16.38,2020-12-27 14:58:43,6play
L'appli la plus lente et lourde au monde et pas de cast. Je ne comprends pas comment une chaîne aussi importante peut avoir une appli de replay aussi nulle... Vraiment dommage surtout que tous les replays ne sont pas sur l'appli Canalplus,1,5,4.16.43,2021-02-11 23:06:29,6play
"Payer un abonnement pour accéder à certains replay et devoir quand même subir des pubs à rallonge, c'est pas normal. Le lecteur proposé n'est pas non plus dingue ni très ergonomique.",1,0,4.16.43,2021-02-28 01:03:11,6play
"J'ai beaucoup appris des choses que je ne savais pas avant,merci M6TV.Aujourd'hui encore,les différentes émissions semblent plus intéressantes les unes que les autres.Je conseille aux autres de regarder cette chaîne de TV.Merci et pour ce nouvel an,je souhaite qu'il y en aura plus d'émissions pour le public et en particulier les fans de cette chaîne de TV.J'ai souvent regardé l'enquête exclusive et c'est grâce à elle que je prenne connaissance de beaucoup de choses.",5,2,4.16.43,2021-02-14 23:38:24,6play
"Qualité désastreuse malgré un débit largement suffisant (aucun problème avec Netflix en 4k) Temps d'attente très long avant le chargement des publicité. Publicités mal ciblées. Si le contenu était monétisé sur YouTube, ça marcherait 1000 fois mieux!",1,11,4.16.43,2021-02-12 11:02:38,6play
"Ras le bol de la pub à longueur de temps !!! Edit: alors c'est énorme là !!! À peine j'ai mis cette note que je n'ai plus accès au vidéos, ils me mettent un message d'erreur à chaque fois !!! Une belle bande de crevures !!! Je vous conchie !!!",1,5,4.16.38,2021-01-21 08:43:51,6play
Houla c'est moche et pas pratique On ne peux pas choisir la qualité du streaming...la video est moche genre 360p ou un truc du genre...pas de possibilité de cast?...pas de possibilité de visionner hors réseau ? Je désinstalle direct...(et pas Replay 😁😂),1,5,4.16.38,2021-01-06 10:36:40,6play
"C'est une application que je raffole . Elle me sauve la vie quand je rate mes émission préfère comme "" le meilleur patissier 🎂 "" , "" dîner presque parfait "" et comme maintenant ils ont rajouter "" le meilleur patissier sur commande "" ou bien "" Margaux et la chocolatrie avec Lindt 🍫🍫🍫 "" . Elle just incroyable et je la recommande vivement au téléspectateurs , car grâce à cette application plus besoin d'avoir peur, car on a pas vue l épisode précédent . 😍😍 merci à M6 .",5,47,4.16.38,2020-12-26 14:03:49,6play
"Je paye , je vois beaucoup d'utilisateurs qui disent que l'application est gratuite, moi je paye tous les mois.... Ça reste une bonne application quand elle fonctionne, plusieurs jours sans, quelques jours avec et rebelote ça ne fonctionne plus...",3,6,4.16.43,2021-02-11 15:48:31,6play
"2 soucis, l'application bug souvent (souvent dû aux nombreuses pub) et en plein écran on ne peut pas visionner à l'horizontale et donc l'écran est trop petit. Sans cela l'application serais parfait, mais trop d'arrêt sur image et de chargement infini !",4,8,4.16.38,2021-01-09 22:01:42,6play
"Présentation et utilisation de l app sont Ok mais pb sur les replays. En effet, sur les programmes de S. PLAZA, Maison à Vendre et Recherche Appart ou Maison, les replays des emissions inédites de 2021 n apparaissent pas :( Est il possible de les réintégrer dans le menu des emissions à revoir en replay? Merci!",4,11,4.16.38,2021-01-16 19:55:47,6play
"Cette appli est juste génial. Il y a quasiment toutes les séries que j'aime. C'est dommage qu'il n'y ai plus la série ""buffy contre les vampires"" ou que des series deviennent payantes du genre Hawaii 5-0. C'est ma série préférée et du coup je m'ennuie un peu depuis que cette série est payante.",4,7,4.16.38,2020-12-25 15:06:16,6play
"Je regarde souvent mes émissions en replay, c'est plutôt pratique. Mais gros point faible : les Pub ! Plus de publicité que quand on les regarde directement sur la télé c'est vraiment avançant, la sur une émission de 30 minutes, plus de 4 arrêts pub de plus de 2min",3,55,4.16.38,2020-12-14 00:42:11,6play
Super j aime cette application. Elle est accessible ou je veux quand je veux. Et beaucoup d infos et de films pour passer le temps. Sur en hospitalisation et dans les salles d attente.,5,3,4.16.38,2020-12-26 22:06:31,6play
"J'adore cette appli mais depuis hier soir, je ne peux plus y accéder. Le téléchargement de l'appli se fait à moitié puis s'arrête. Je l'ai désinstallée puis réinstallée mais toujours pareil... C'est dommage.",5,5,4.16.38,2021-01-15 20:16:50,6play
Très bonne application pour rattraper toutes ses séries ! En plus elle est gratuite ! Il n'y a pas trop de pub... Je recommande ça fait 1semaine que je l'ai et ça fait 1semaine que je regarde mes séries préférées tout en travaillant ! Bravo ! ✨,5,5,4.16.38,2020-12-28 10:09:09,6play
J'aime bien surtout quand on n'a pas la télé mais au bout d'un moment l'application a complètement buggé et ne voulais plus me lire aucune vidéo; les pubs sont énervantes comme d'habitude: le direct pas de problème donc je dirais 3 / 5 je pense que c'est une autre raisonnable mais sinon super cool que ça soit en replay sur téléphone,3,14,4.16.38,2021-01-13 14:08:22,6play
"Beug tout le temps, il lui faut beaucoup de temps pour charger avant de lancer un épisode et je ne peux plus y accéder sur ma TV, je suis obligée de prendre mon téléphone",2,0,4.16.43,2021-02-13 10:32:47,6play
"En réalité 0 etoile. Que des pubs qui arrivent en plein milieu d épisode et ce toutes les 5mn, peu de choix et ne fonctionne pas avec le chromecast. Les autres chaînes s en sortent nettement mieux. Quelle déception. Et impossible de le signifier sur leur site, bizarrement il y a un pblm technique...",1,18,4.16.38,2020-12-27 20:29:28,6play
"Très déçue également de ne pas pouvoir chromcaster sur la TV. Aucun intérêt d'avoir la possibilité de regarder en replay si on ne peut pas le regarder sur notre télé non? Et en plus, si je n'avais pas vu les commentaires je ne saurai même pas pourquoi je ne peux plus 🤨😒",1,10,4.16.38,2021-01-28 23:08:02,6play
"De la m... 4 pub avant d'atteindre un contenu... Contenu, arrêtez moi si je me trompe, qu'on ne peut pas passer sur Chrome cast. Perte de temps, cette appli. (Par contre, ça n'oublie pas de pomper nos données perso)",1,5,4.16.38,2021-01-11 20:06:18,6play
Ça faisait longtemps que je recherchais une application telle que 6play. Je n'ai pas la télévision car je ne regarde jamais mais les programmes comme la télé-réalité si car j'aime beaucoup. C'était horrible d'aller regarder les vidéos sur YouTube,5,0,4.16.38,2021-01-25 17:41:16,6play
Pour moi c est nickel. Je regarde en direct ou en replay mes séries et émissions préférées. Je n ai jamais eu de bug 🤞 C est parfait.,5,0,4.16.43,2021-02-18 20:48:35,6play
"Application que je recommande fortement, cette application s'adapte aux programmes que tu appréciés'appréciés, il faut choisir 3 programmes que tu aims regarder et après te propose des programmes parmi les 3 selectionnes. C'est dommage qu'il n'y ai pas les autres chaines du groupe TF1 car je ne trouve pas d'application pour TF1. Mais ne valide et recommande fortement cette application !!! :)",5,0,4.16.43,2021-02-22 23:02:21,6play
Bonne application mais impossible de caster sur un chromecast uniquement sur box TV. J'espère qu'une mise à jour va bientôt arriver pour régler le problème.,2,0,4.16.43,2021-02-25 20:55:11,6play
J'aime l'application . Mon seul reproche serait la multitude de publicité mais je pense qu'elles sont nécessaires. A partcela je suis satisfaite et je trouve que les émissions sont très s rapidement diffusées après leur passage en live.,4,12,4.16.38,2020-12-22 21:28:42,6play
"Cette application lance très facilement oes publicités, par contre, pas d'épisode de série. Et avec ça, pas disponible sur Android TV.",1,1,4.16.38,2021-02-19 18:28:27,6play
J'adore l'appli je l'utilise tous les jours car je regarde mes replays en faisant la cuisine pendant que monsieur regarde ce qu'il souhaite à la télé.,5,0,4.16.43,2021-02-21 20:14:51,6play
"Je trouve génial. Quand je loupe l'émission à la télé à cause de mon boulot ou des corvées ou des courses , je n'ai qu'aller sur 6play et je me régale. Et en plus y a de l'embarras de choix, on s'ennuie jamais avec 6play.",5,2,4.16.38,2021-01-11 09:50:57,6play
"Stop les pubs! Trop de pub, c'est juste insupportable. Déjà 5 pubs minimum au lancement de la vidéo et une fois casté sur la TV, ça charge et encore des pubs.... C'est interminable et encore durant la lecture de la vidéo j'ai évidemment le droit à d'autres pubs...",2,1,4.16.38,2021-01-26 08:19:32,6play
Excellente application on a accès à de nombreux replay sur les différentes plateformes du groupe M6 et les programmes en direct sont top.,5,0,4.16.43,2021-02-21 20:31:16,6play
J'adore l'application mais pour regarder quelques émissions c'est impossible parce que j'habite en Belgique. Régler ça et ça sera parfait comme application.,4,0,4.16.43,2021-02-27 03:07:43,6play
"Application lente, non ergonomique et remplit de publicité. Vous devriez vous inspirez de netflix, prime video ou encore Disney + mais là quelle horreur de regarde une émission en replay sur vitre plate-forme...",1,5,4.16.38,2020-12-28 21:01:55,6play
Très bonne application mais alors pour regarder des épisodes de kamelott c'est une horreur avec toute ces pubs qui dure 3 plombe entre chaque épisode... faites quelque chose ça en devient pénible,2,2,4.16.43,2021-02-20 01:47:37,6play
"Premièrement, il y a trop de pubs! Deuxièmement, à quand une compatibilité avec le chromecast ? Je trouve ça fou pour un groupe de votre envergure..",1,6,4.16.38,2020-12-24 11:38:07,6play
L'application était très pratique mais depuis plusieurs semaines impossible de regarder les vidéos... Une mise à jour permettant de refaire fonctionner l'application devient urgente.,2,7,4.16.38,2021-01-14 18:29:42,6play
"Comme par hasard depuis que j'ai refusé les cookies l'application ne fonctionne plus normalement , n'y aurait-il pas une relation de cause à effet : je refuse que mes données soient exploitées, du coup je ne peux pas utiliser l'application, cela est-il bien correct ?",1,3,4.16.38,2020-12-30 21:54:31,6play
"Problème avec la nouvelle mise à jour, en temps normal elle est très efficace mais depuis quelques jours, les vidéos sont toutes en erreurs. Dommage",1,5,4.16.38,2021-01-12 19:15:17,6play
"J'apprécie beaucoup cette application que j'utilise régulièrement, mais depuis quelques jours le replay ne fonctionne plus une mise à jour devrais être proposé, c'est navrant.",5,1,4.16.38,2021-01-24 13:23:42,6play
"C'est bien sur l'application. Mais le problème que les sous-titres ne sont pas là comme pas toujours, c'est pas normal. C'est plus important les sous-titres pour que je comprenne mieux.",4,1,4.16.38,2021-01-28 20:30:56,6play
Ce système d étoiles sans le zéro reflète parfaitement la qualité des programmateurs d aujourd hui. Une énième application qui n'est pas testée sur tous les téléphones et ne charge pas.,1,1,4.16.38,2021-01-03 11:50:24,6play
"Bonjour, j'aime bien cette appli, mais c'est juste , qu'il n'y a pas trop de programmes... Par exemple : je voulais regarder les anges, mais j'ai vu qu'il n'y avait pas nrj12 et ça m'a déçu de ouf ! 😭 Car moi, je passe mes après midi, à regarder les anges ( à la télé ) ❤️. Donc svp, essayez quand même, de mettre le programme nrj12 🙏🏾 Et puis, il n'y a pas que ça comme problème... Les pubs... Ça, c'est soûlant , et en plus d'êtres saoulant es, les pubs mettent du temps à venir. 🕒 Merci.",3,4,4.16.38,2020-12-22 18:03:33,6play
L application ne fonctionne pas sur mon téléphone :( les vidéos de lancent les pubs fonctionnent puis message d erreur systématique Application inutilisable tel quel. C'est dommage.,1,3,4.16.38,2021-01-09 16:23:25,6play
"Cette application est vraiment cool elle permet de regarder des choses qu'on a pas eu le temps de regarder, de voir des des directe. Trop bien 💜✌",5,2,4.16.38,2021-01-02 16:19:22,6play
Application inutile et impossible à lancer avec les pubs qui se répètent en boucle au démarrage. Ne mérite même pas une étoile mais on ne peut pas en mettre moins.,1,2,4.16.38,2021-01-04 16:54:17,6play
"Nulle, en dehors des pubs impossible de regarder un replay , après un long moment, s'affiche : erreur veuillez réessayer. Arnaque. Je vais même oublier cette chaîne.",1,1,4.16.38,2021-01-22 15:10:50,6play
Très bonne application ou l'on peut revoir tout nos programmes à n'importe quel heure si nous étions absent pour cause travaille ou autre. SUPER J ADORE,5,0,4.16.43,2021-02-20 02:28:46,6play
Votre application elle est pourrie !!!! Elle se coupe toujours sans arrêt ou pendant un Replay !! Il faut y remédier ça devient trop !!!!,1,5,4.16.43,2021-02-10 19:52:06,6play
"L'application est très bien pour regarder des replay, très rapide. Je valide et conseille pour regarder des replay.",4,0,4.16.43,2021-02-25 10:13:28,6play
"Pour le moment je ne peux pas obtenir mes émissions préférées Les reines du shopping et le meilleur pâtissier ainsi que d'autres, n'obtiens que la pub Pouvez vous voir s'il n'y a pas actuellement un problème de connection Sinon je suis satisfaite",1,22,4.16.38,2020-12-14 08:55:34,6play
Très bonne application dommage qu’ils n’y 1 pas les épisodes en avance que en direct mais bon sais pas moi qui a fait l’application donc faut y faire sinon je vous la conseil énormément pas de beug,5,0,4.16.38,2021-02-24 21:43:53,6play
"Comme un commentaire précédent je n'arrive plus à regarder une video on me dit erreur, bizarement il n'y a que les publicités qui s'ouvrent. Que se passe t-il ?",2,0,4.16.38,2021-01-22 23:05:45,6play
C'est super le replay TV inaccessible sur Android... TV Comme quoi il y a mieux que l'administration pour les aberrations et les dysfonctionnements : les grands groupes privés,1,1,4.16.38,2021-01-11 20:06:17,6play
Bcp trop de pub a répétition exemple en se moment je regarde kaamelott en replay et tous les 2 ou 3 episode la pub revient sachant que les episode dure environ 2 min on est souvent revenu à la pub dommage !!!,2,0,4.16.38,2021-01-01 17:30:04,6play
Bien organisé les épisodes sont marques comme vu et ça c'est bien pour pas se perdre. Accés A de nombreux programmes difficiles d 'accès sur d' autre plate-forme,5,3,4.16.43,2021-02-10 14:23:49,6play
L application marchait très bien mais depuis plus d'un mois il est impossible de regarder un replay d'où les 2 étoiles.,2,0,4.16.38,2021-01-10 18:24:33,6play
Depuis quelques temps j'ai du mal à regarder les replays. Il n'y a que les pubs qui marchent et quand les pubs finissent ça marquent erreur.,2,1,4.16.38,2021-01-12 13:30:32,6play
"C'est tout simplement un enchaînement de pub !!!!! Dans une vidéo, il y a au moins 4 fois 5 minutes de pub ! C'est insupportable !",1,2,4.16.38,2020-12-24 11:08:06,6play
Impossible de démarrer une vidéo... Seule les pubs fonctionnent. Et je vois dans les commentaires que je ne suis pas la seule....,1,2,4.16.38,2021-01-09 11:19:38,6play
Application au top pour voir les replay. Par contre gros bémol c'est que en Belgique on ne sait voir que une petite partie des programmes proposé.,3,0,4.16.38,2021-01-30 23:13:37,6play
Déplaisante ... Merci de bloquer les cast pour éviter la diffusion ... Quel est l'intérêt de l'application sur mon téléphone si je ne peux le diffuser sur mon téléviseur ... Par contre les 5 pubs avant la video elles sont là !,1,1,4.16.38,2021-01-07 20:31:51,6play
J'aime beaucoup m6 et les replays et j'aimerais comme beaucoup d'autres personnes avoir davantages de telenovelas plus récentes et surtout les telenovelas brésiliennes qui passent sur les Antilles. J'espère que bientôt nous pourrons nous aussi en profiter en France surtout en ce moment. Merci.,4,0,4.16.43,2021-02-20 08:41:58,6play
"J'adore cette application, on peut revoir ses films enregistré en replay c'est super chouette. Est je les adoré ces films romantiques certains.",5,8,4.16.38,2020-12-15 19:19:15,6play
Tres bien. UN probleme impossible de visionner les replays de tous en cuisine. Je mettrais 5 etoiles si il n y avait pas cela .,4,0,4.16.38,2021-01-24 19:13:06,6play
Bonne application. Acces a toutes les chaines du groupe M6. Replay assez large. La navigation meriterait d'etre plus intuitive.,4,10,4.16.38,2020-12-19 17:04:14,6play
Très bonne appli mais quelques beug de temp en temp et certains Replay ne sont pas daté du coup un peu difficile à regarder les épisodes dans l'autre chronologique,4,0,4.16.38,2021-01-07 00:52:52,6play
C'est une très bonne application. Ça me permet de revenir sur des évènements passés dont je n'ai pas eu le temps de visionner en temps reel.,5,0,4.16.38,2020-12-23 10:59:53,6play
"L'application n'arrête pas beugé, je n'arrive pas toujours à regarder une série ou un film par exemple car il n'y pas d'image il n'y a que le son",2,2,4.16.38,2021-01-05 01:39:25,6play
Ne fonctionne pas après le visionnage de la publicité 😠 ahurissant car a la lecture des avis ça ne date pas d'aujourd'hui !,1,1,4.16.38,2021-01-09 10:03:49,6play
"J'aime bien cette application, elle me permet de voir des programmes que je ne verrais pas autrement. Elle est simple d'utilisation ( si j'y arrive...)",5,1,4.16.38,2021-01-01 09:39:56,6play
"lent, plante souvent. dommage car on commence a regarder un film mais impossible de le finir... merci d'améliorer les performance de votre site!",3,0,4.16.38,2021-01-17 09:09:31,6play
En ce moment à chaque fois que je veux regarder une vidéo il me mettent erreur de lecture veuillez réessayer mais en vain sa marche pas ji essayer une centaine de fois je suis dégouté,1,1,4.16.38,2021-01-24 17:12:07,6play
"Gros soucis de lecture sur toutes les vidéos, impossible de lire quoi que ce soit depuis la dernière mise à jour... très déçu...",1,2,4.16.38,2020-12-31 09:12:59,6play
Pour voir les émissions en différé c'est bien. On peut trouver ce qui intéresse parmi les choix proposés.,4,0,4.16.38,2021-02-06 10:45:56,6play
"Bonjour. Comme beaucoup ici , impossible de caster l'image de mon smartphone sur ma TV comme avant! Bref,je désinstalle cette appli qui ne me sers plus a rien.",1,4,4.16.43,2021-02-05 02:47:12,6play
Comme d'habitude. ..vous avez remis à jour votre appli mais vous ne vous souciez pas des personnes qui n achetent pas des tablettes tous les ans ! C'est vraiment désolant. .. ERROR-GENERIC....voila impossible d utiliser l appli....a si...il y les pubs qui passent Pfffffff,1,18,4.16.38,2021-01-22 17:17:30,6play
Nul. Combien de temps de publicité avant de pouvoir regardé sont programme ?? Au bout de plusieurs minute on veut déjà ferme l application,1,5,4.16.43,2021-02-09 02:35:00,6play
"Très bien pour moi qui dépassée par les contraintes de la vie ( enfants, devoir, courses et boulot). Jamais le temps ...",5,0,4.16.43,2021-02-05 20:52:57,6play
"Je ne peux pas regarder d'émissions. Je me connecte, puis quand j'essaie de lancer une vidéo l'appli me dit de compléter mon profil... Je vais dans profil, et là message d'erreur me disant que je ne peux pas accéder ou modifier mon profil",1,8,4.16.38,2020-12-18 18:31:17,6play
Application vraiment bien conçu un peux sélectionner à l'avance nos film ou séries à voir plus tard ou reprendre un film laissé en pause.,5,0,4.16.38,2021-01-21 12:20:26,6play
Fonctionne très bien. Et mieux que l'application de TF1 qui ne permet même pas de faire du cast 😲. J'ai unz RV LCD qui fonctionne mais le tuner est HS c'est pour ça que je souhaite caster,5,8,4.16.38,2020-12-13 21:00:53,6play
Très bonne application car me permet de regarder ce que je veux à tout moment même ce que j'ai raté en semaine,5,0,4.16.43,2021-02-18 12:38:03,6play
"Vraiment super pour revoir des épisodes iconiques, suivre les programmes qu'on a raté et même plus encore !❤",5,0,4.16.38,2021-02-21 13:01:57,6play
Application très bien mais déçue car depuis plusieurs jours plus d'accès aux replay qui au bout de 7 jours deviennent inaccessibles,3,0,4.16.38,2021-01-26 10:47:41,6play
"Application sympa, facile à utiliser et bien faite.... Petit bémol, certains jours les films du direct ne sont qu'en anglais.",4,7,4.16.38,2020-12-13 21:30:12,6play
Nombreux bugs et trop de publicité. Même avant les diffusions en direct il y a des publicités...,1,4,4.16.43,2021-02-08 11:51:07,6play
"J'aime bien les programmes proposés , un petit bémol trop de pub ! L'application a souvent des pannes",3,0,4.16.43,2021-02-22 06:51:12,6play
Je trouve cela très bien toutefois qui il y est des publicité je peux comprendre mais il en as pas mal et elle dure à mon avis beaucoup trop longtemps.,4,0,4.16.38,2021-01-22 22:37:39,6play
"Très bonne application, cependant il est dommage de ne pas pouvoir transférer l'image sur la télé grâce au Chromecast :(",4,1,4.16.38,2021-01-12 19:14:39,6play
"Très très bien j'habite au Portugal et ça marche bien,c'est juste dommage que certains vidéos ne marchent que en France pour le reste c'est bien 👍",4,10,4.16.38,2020-12-10 22:48:28,6play
cette application est incroyable elle m'aide à regarder les séries les films que j'ai loupé à la télé c'est c'est trop bien comme les Marseillais les princes et princesses trop bien cette application,5,0,4.16.38,2020-12-28 21:48:47,6play
"très bonne application..aucun bugg, très rapide dans l'exécution...5 étoiles ça les vaut largement",5,0,4.16.43,2021-02-12 18:20:53,6play
"Contente des nouvelles telenovelas et de vos services vs tenez toujours compte de nos remarques j apprecie beaucoup merci mais je n arrive pas a débloquer gratuitement , la dona, au cœur du peche, rédemption etc enfin ce qui m est proposé dans ma liste, merci de m eclairer, je viens de terminer la projection de le prix du désir, c etait bien merci de m eclairer",4,0,4.16.38,2020-12-19 21:04:23,6play
Vraiment j'adore cette application mais g mais 4 étoiles car il y'a certains émission que je ne peux pas regarder à cause de ma position de l'endroit où je vis..... c'est vraiment dommage snn t bon app,4,0,4.16.38,2021-01-24 21:46:13,6play
Très bon appli cela me permet de revoir mes programmes favoris quand je suis sur la route,4,0,4.16.38,2021-01-30 01:21:23,6play
J aime beaucoup cette appli je peux suivre mes émissions même en retard... C'est trop génial j adore ♥ je recommande cette appli vivement... Merci d avoir fait cette appli elle est top ❤️ j adore cette application,5,4,4.16.43,2021-02-01 14:25:37,6play
L'application marche très bien mais malheureusement depuis 1 semaines je n'arrive pas à regarder mes replays. Dommage,3,2,4.16.43,2021-02-04 07:25:53,6play
"Bonne application, quand je suis dehors je regarde le journal et les replay. Je le conseille.",4,0,4.16.38,2021-01-20 18:43:15,6play
Très bonne aplie juste un petit problème qui est un petit peu dérangent ses que lomp peut pas mettre notre téléphone horizontalement ou alors ses juste mon téléphone je ne ses pas mes sinon voilat je vous recommande cette aplie 😊👍,4,0,4.16.38,2021-02-04 18:10:31,6play
Nous voulons accéder au replay mais le seul replay que nous ayons est la publicité. Le beug intervient dans la foulée. Utilité du replay : nulle.,2,5,4.16.43,2021-02-06 20:50:21,6play
"Très bonne application on est pas déçue à recommander. Pour tout ceux qui veulent s'instruire, et qui non pût voir les programmes.",5,2,4.16.38,2020-12-24 12:46:55,6play
